"seller_id","total_orders","total_revenue","avg_review_score"
"a3a38f4affed601eb87a97788c949667",254,26533.32,4.39
"9f505651f4a6abe901a56cdc21508025",397,26426.81,4.28
"de23c3b98a88888289c6f5cc1209054a",164,26399.67,4.28
"1c68394e931a64f90ea236c5ea590300",142,26133.56,3.94
"16090f2ca825584b5a147ab24aa30c86",402,25716.44,4.04
"a416b6a846a11724393025641d4edd5e",162,25670.72,4.16
"b94cc9f10ddc85e4ba73a6f7974e7101",39,25346.10,4.30
"1900267e848ceeba8fa32d80c1a5f5a8",411,25167.42,3.85
"c003204e1ab016dfa150abc119207b24",197,25108.09,4.42
"001cca7ae9ae17fb1caed9dfb1094831",200,25080.03,3.90
"dc4a0fc896dc34b0d5bfec8438291c80",231,25066.27,3.74
"b1b3948701c5c72445495bd161b83a4c",18,24699.19,1.72
"f62d7bb4a613ec758a03342d46b580b2",32,24665.00,4.38
"710e3548e02bc1d2831dfc4f1b5b14d4",136,23979.11,3.40
"2b3e4a2a3ea8e01938cabda2a3e5cc79",52,23629.15,4.39
"897060da8b9a21f655304d50fd935913",317,23622.77,3.40
"1a3df491d1c4f1589fc2b934ada68bf2",167,23523.50,4.16
"40db9e9aa57f7bb151bcda6b0f9bdbb7",12,23168.00,2.36
"612170e34b97004b3ba37eae81836b4c",107,23065.02,4.43
"8444e55c1f13cd5c179851e5ca5ebd00",99,22873.21,3.07
"05ff92fedb5be47920fea08e501238b9",59,22610.78,4.17
"7b0df942f46435babab05d49b744b2c4",32,22600.63,4.39
"7ad32824caee82087b3e2e5f33b1bf32",151,22505.10,3.77
"744dac408745240a2c2528fb1b6028f3",79,22490.60,4.55
"d2374cbcbb3ca4ab1086534108cc3ab7",524,22324.59,3.64
"06e5eefc71ec47ae763c5c6f8db7064f",92,22188.56,3.90
"f45122a9ab94eb4f3f8953578bc0c560",187,22078.29,3.91
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b",20,21940.80,3.65
"59fb871bf6f4522a87ba567b42dafecf",126,21838.56,4.22
"8f2ce03f928b567e3d56181ae20ae952",153,21712.90,4.06
"48162d548f5b1b11b9d29d1e01f75a61",68,20510.14,3.76
"729f06993dac8e860d4f02d7088ca48a",96,20485.08,4.29
"004c9cd9d87a3c30c522c48c4fc07416",158,20467.18,4.13
"00ee68308b45bc5e2660cd833c3f81cc",135,20345.00,4.33
"bfd27a966d91cfaafdb25d076585f0da",117,19921.00,4.28
"f457c46070d02cadd8a68551231220dd",199,19766.40,3.79
"d650b663c3b5f6fb392b6326366efa9a",60,19242.90,4.20
"821fb029fc6e495ca4f08a35d51e53a5",28,19187.42,3.43
"2a5b78b41cd05baeac8df54c6606b92c",49,19025.36,4.08
"dc317f341ab0e22f39acbd9dbf9b4a1f",55,18988.40,4.12
"96493fab2fbb13a14d0c0e8772eef5c3",63,18969.00,4.03
"44073f8b7e41514de3b7815dd0237f4f",144,18729.64,3.76
"cd68562d3f44870c08922d380acae552",125,18569.70,3.84
"0dd184061fb0eaa7ca37932c68ab91c5",161,18446.92,3.95
"527801b552d0077ffd170872eb49683b",90,17942.80,4.48
"a888faf2d1baececa6baf9c3d603ee1f",54,17765.80,4.05
"4a3ccda38b2129705f3fb522db62ca31",66,17624.49,3.73
"9de4643a8dbde634fe55621059d92273",72,17560.34,4.53
"0c8380b62e38e8a1e6adbeba7eb9688c",182,17558.59,4.04
"41b39e28db005d9731d9d485a83b4c38",195,17546.85,4.13
"8b321bb669392f5163d04c59e235e066",943,17535.69,4.00
"c72de06d72748d1a0dfb2125be43ba63",21,17522.00,4.45
"165fc07beebdcb6190fba8a06db2a449",50,17481.40,3.69
"94144541854e298c2d976cb893b81343",68,17315.18,4.29
"1e8b33f18b4f7598d87f5cbee2282cc2",123,17309.06,4.28
"54a1852d1b8f10312c55e906355666ee",200,17286.43,4.34
"76d64c4aca3a7baf218bf93ef7fa768d",64,17181.70,4.13
"abe42c5d03695b4257b5c6cbf4e6784e",50,17159.00,3.92
"c3acdfac4e3e97ff87529454fbc03642",12,16788.00,4.25
"86ccac0b835037332a596a33b6949ee1",180,16674.70,4.00
"ef0ace09169ac090589d85746e3e036f",129,16343.20,4.34
"8ae520247981aa06bc94abddf5f46d34",65,16320.99,4.45
"7aa4334be125fcdd2ba64b3180029f14",217,16234.81,4.05
"fa40cc5b934574b62717c68f3d678b6d",307,16100.77,4.43
"1f1bb1f0859883505541bdd6606193e5",27,16040.84,4.31
"0adac9fbd9a2b63cccaac4f8756c1ca8",110,15969.85,3.89
"2a84855fd20af891be03bc5924d2b453",164,15919.00,4.23
"4b9750c8ad28220fe6702d4ecb7c898f",218,15915.30,4.35
"6061155addc1e54b4cfb51c1c2a32ad8",28,15909.40,4.71
"229c3efbfb0ea2058de4ccdfbc3d784a",121,15744.00,3.64
"f9244d45189d3a3605499abddeade7d5",21,15731.43,4.29
"d921b68bf747894be13a97ae52b0f386",77,15645.80,4.56
"c33847515fa6305ce6feb1e818569f13",114,15519.85,3.72
"e5a38146df062edaf55c38afa99e42dc",121,15511.05,3.95
"85d9eb9ddc5d00ca9336a2219c97bb13",509,15506.94,4.17
"213b25e6f54661939f11710a6fddb871",155,15499.35,3.79
"c847e075301870dd144a116762eaff9a",42,15348.70,4.17
"ce248b21cb2adc36282ede306b7660e5",65,15309.96,4.21
