"customer_unique_id","total_spend"
"0a0a92112bd4c708ca5fde585afaa872",13440.00
"da122df9eeddfedc1dc1f5349a1a690c",7388.00
"763c8b1c9c68a0229c42c9fc6f662b93",7160.00
"dc4802a71eae9be1dd28f5d788ceb526",6735.00
"459bef486812aa25204be022145caa62",6729.00
"ff4159b92c40ebe40454e3e6a7c35ed6",6499.00
"4007669dec559734d6f53e029e360987",5934.60
"eebb5dda148d3893cdaf5b5ca3040ccb",4690.00
"5d0a2980b292d049061542014e8960bf",4599.90
"48e1ac109decbb87765a3eade6854098",4590.00
