"customer_state","average_orders"
"RO",1.0541666666666667
"AC",1.0519480519480519
"RJ",1.03779069767441860465
"SP",1.03582948737035382859
"RS",1.0358158044343377
"MT",1.0353881278538813
"ES",1.0351323828920570
"AM",1.0349650349650350
"GO",1.0348360655737705
"MG",1.03339550581756816769
