"city","state","total_orders","avg_order_value"
"lagoa santa","MG",59,149.56
"manhuacu","MG",65,149.37
"manhuaçu","MG",65,149.37
"itanhaém","SP",80,149.09
"itanhaem","SP",80,149.09
"cosmopolis","SP",52,149.08
"cosmópolis","SP",52,149.08
"cachoeiro de itapemirim","ES",123,148.79
"bento gonçalves","RS",56,148.79
"bento goncalves","RS",56,148.79
"catanduva","SP",75,148.45
"guarapuava","PR",71,148.32
"cariacica","ES",139,148.22
"ribeirão das neves","MG",100,147.71
"ribeirao das neves","MG",101,147.70
"apucarana","PR",54,147.43
"belo horizonte","MG",2789,147.18
"araraquara","SP",155,146.99
"itapira","SP",55,146.97
"mauá","SP",320,146.92
"maua","SP",323,146.88
"caçapava","SP",74,146.72
"cacapava","SP",74,146.72
"nilopolis","RJ",107,146.52
"nilópolis","RJ",105,146.39
"cachoeirinha","RS",72,146.34
"rio claro","SP",155,146.19
"magé","RJ",105,146.12
"avare","SP",64,146.02
"avaré","SP",64,146.02
"são joão de meriti","RJ",134,145.95
"sao joao de meriti","RJ",134,145.95
"mesquita","RJ",75,145.70
"serra","ES",285,145.65
"ouro preto","MG",61,145.56
"pinhais","PR",69,145.24
"blumenau","SC",188,144.94
"praia grande","SP",311,144.45
"ipatinga","MG",171,143.83
"ribeirao preto","SP",528,143.52
"ribeirão preto","SP",528,143.52
"uberlandia","MG",374,143.48
"uberlândia","MG",374,143.48
"jaboticabal","SP",54,143.17
"sobradinho","DF",84,142.95
"são gonçalo","RJ",403,142.94
"barretos","SP",73,142.90
"montes claros","MG",211,142.74
"campinas","SP",1444,142.74
"pindamonhangaba","SP",101,142.70
"pelotas","RS",186,142.37
"mogi das cruzes","SP",383,142.34
"duque de caxias","RJ",266,142.32
"sao goncalo","RJ",409,142.19
"indaiatuba","SP",280,142.08
"aparecida de goiânia","GO",102,141.93
"são josé","SC",169,141.27
"sao jose","SC",169,141.27
"santa luzia","MG",93,141.24
"varzea paulista","SP",80,140.54
"cotia","SP",250,140.45
"aparecida de goiania","GO",110,140.43
"santana de parnaíba","SP",180,140.35
"embu","SP",176,139.89
"embu das artes","SP",176,139.89
"guaruja","SP",226,139.82
"guarujá","SP",224,139.77
"lauro de freitas","BA",74,139.63
"cabo frio","RJ",117,139.47
"valinhos","SP",183,139.46
"sao joao del rei","MG",67,139.30
"são joão del rei","MG",67,139.30
"várzea paulista","SP",78,139.29
"jau","SP",74,139.15
"jaú","SP",74,139.15
"unai","MG",54,139.04
"unaí","MG",54,139.04
"palhoça","SC",95,139.03
"palhoca","SC",95,139.03
"pirassununga","SP",69,138.99
"caieiras","SP",146,138.98
"santana de parnaiba","SP",185,138.94
"colombo","PR",62,138.94
"canoas","RS",210,138.59
"sao carlos","SP",236,138.33
"são carlos","SP",236,138.33
"limeira","SP",190,138.26
"taboão da serra","SP",303,138.12
"franca","SP",161,137.75
"itapeva","SP",53,137.15
"belford roxo","RJ",111,136.83
"atibaia","SP",159,136.62
"itatiba","SP",97,136.34
"são paulo","SP",15406,135.84
"sao paulo","SP",15586,135.69
"ubá","MG",53,135.68
"uba","MG",53,135.68
"maricá","RJ",117,135.38
"barueri","SP",433,134.76
"mairiporã","SP",75,134.59
"mairipora","SP",75,134.59
"sorocaba","SP",641,134.32
"resende","RJ",119,134.30
"aracatuba","SP",141,134.05
"araçatuba","SP",141,134.05
"são vicente","SP",163,133.39
"sao vicente","SP",163,133.39
"paulinia","SP",130,133.05
"paulínia","SP",130,133.05
"taboao da serra","SP",296,133.02
"são roque","SP",79,132.75
"sao roque","SP",79,132.75
"guarulhos","SP",1189,132.10
"votorantim","SP",85,131.67
"contagem","MG",426,131.58
"marica","RJ",139,131.05
"sao caetano do sul","SP",277,130.98
"cruzeiro","SP",56,130.86
"ilhéus","BA",70,130.39
"são caetano do sul","SP",296,129.88
"ilheus","BA",72,129.62
"santo andré","SP",789,129.29
"erechim","RS",58,129.24
"santo andre","SP",795,128.94
"mogi-mirim","SP",78,128.63
"mogi mirim","SP",78,128.63
"sumare","SP",183,128.38
"sumaré","SP",183,128.38
"colatina","ES",65,127.65
"ijui","RS",52,127.23
"ijuí","RS",52,127.23
"sao jose dos campos","SP",703,126.33
"hortolandia","SP",145,125.83
"hortolândia","SP",145,125.83
"são josé dos campos","SP",691,125.70
"americana","SP",224,125.32
"queimados","RJ",54,125.09
"itapevi","SP",170,123.92
"itaquaquecetuba","SP",172,123.89
"poá","SP",81,123.37
"sertaozinho","SP",62,123.13
"são bernardo do campo","SP",923,122.97
"sao bernardo do campo","SP",967,122.62
"sertãozinho","SP",61,121.53
"teófilo otoni","MG",75,121.35
"teofilo otoni","MG",75,121.35
"santa bárbara doeste","SP",90,121.08
"osasco","SP",746,120.51
"taubate","SP",270,120.47
"poa","SP",85,120.04
"barra do pirai","RJ",61,119.90
"salto","SP",95,119.72
"são leopoldo","RS",105,119.03
"sao leopoldo","RS",105,119.03
"ituiutaba","MG",56,118.41
"bebedouro","SP",51,118.11
"taubaté","SP",267,117.93
"arujá","SP",67,117.77
"aruja","SP",67,117.77
"santa barbara d oeste","SP",122,117.39
"barra do piraí","RJ",57,117.02
"santa bárbara d'oeste","SP",123,116.89
"santa barbara d'oeste","SP",124,116.70
"araucaria","PR",54,115.85
"araucária","PR",54,115.85
"ubatuba","SP",76,115.77
"cajamar","SP",100,115.75
"vinhedo","SP",95,115.66
"suzano","SP",234,115.34
"diadema","SP",286,114.34
"itu","SP",135,113.97
"jandira","SP",85,113.13
"itaborai","RJ",60,112.43
"itaboraí","RJ",56,111.99
"carapicuíba","SP",326,110.31
"lorena","SP",83,110.14
"sao jose dos pinhais","PR",133,110.10
"carapicuiba","SP",328,110.06
"conselheiro lafaiete","MG",84,109.73
"são josé dos pinhais","PR",132,109.49
"jacarei","SP",193,108.42
"jacareí","SP",190,107.67
"francisco morato","SP",100,107.56
"viamão","RS",72,106.84
"viamao","RS",73,106.64
"ribeirao pires","SP",109,105.51
"ribeirão pires","SP",108,105.36
"cubatão","SP",77,104.48
"franco da rocha","SP",109,104.33
"cubatao","SP",78,103.92
"itapecerica da serra","SP",98,101.44
"tupã","SP",52,98.13
"tupa","SP",53,91.70
